No,Country or Area,ISO-alpha3 Code,M49 Code,Region 1
11,AR,ARG,32,South
27,BO,BOL,68,South
31,BV,BVT,74,South
32,BR,BRA,76,South
46,CL,CHL,152,South
52,CO,COL,170,South
69,EC,ECU,218,South
77,FK,FLK,238,South
82,GF,GUF,254,South
100,GY,GUY,328,South
172,PY,PRY,600,South
173,PE,PER,604,South
209,GS,SGS,239,South
215,SR,SUR,740,South
240,UY,URY,858,South
243,VE,VEN,862,South
